Unit 2.1	abandon, abase, abash, abate, abbreviate, abdicate, aberrant, abet, abeyance, abhor
Unit 2.2	abiding, abject, abjure, abnegate, abominate, aboveboard, abrade, abridge, abrogate, abscond
Unit 2.3	absolute, absolve, abstain, abstemious, abstract, abstruse, absurd, abundant, abuse, acquainted
Unit 2.4	abysmal, accede, ad hoc, accessible, accessory, accidental, acclimate, accolade, accommodate, accentuate
Unit 2.5	accrete, accumulate, acerbic, acme, acquiesce, acrid, acrimonious, acumen, acute, adamant
Unit 2.6	adapt, addict, adhere, adjourn, adjunct, ad-lib, admonish, adore, adulate, adulterate
Unit 2.7	adumbrate, adventitious, adversary, advert, advocate, affable, affinity, affluent, aggrandize, aggravate, # Unit 8, aggregate, aggressive, aggrieve, agitate, agog, agonize, airtight, alacrity, alibi, alienate, # Unit 9, align, allay, allegiance, alleviate, allude, allure, ally, aloft, aloof, altruism, # Unit 10, amalgamate, ambiguous, amble, ambrosial, ameliorate, amenable, amenity, amiable, amicable, amity
Unit 3.1	falsehood, falter, fanatic, fantasy, farce, fascinate, fast, fastidious, fateful, fathom
Unit 3.2	fatigue, fatuous, faultfinder, favorable, fawn, faze, feckless, fecund, feeble, feign
Unit 3.3	foreshadow, feral, fertilise, fervid, forte, fester, fetid, fetter, fiasco, fickle
Unit 3.4	fictitious, fidelity, figurative, fractious, filibuster, filter, finale, finesse, finicky, flaccid
Unit 3.5	flag, flamboyant, flatter, flaw, fledgling, fleet, flexible, flinch, flippancy, flirt
Unit 3.6	flit, flock, florid, flounder, flourish, flout, flabby, fluent, fluky, flush
Unit 3.7	fluster, foible, foil, foment, foolproof, footloose, forbearance, forebear, forestall, foreword
Unit 3.8	forge, formidable, forthright, fortify, foster, founder, fracas, fracture, fragile, frail
Unit 3.9	fraudulent, fraught, frenzy, far-fetched, fretful, friable, friction, frigid, fringe, frivolous
Unit 3.10	frothy, frowsy, frugal, fungible, full-bodied, fulminate, fumble, furor, furtive, fury
Unit 4.1	fussy, fusty, futile, gadfly, gaffe, gainsay, gall, gallant, galvanize, gamble
Unit 4.2	gambol, gag, garble, gargantuan, garish, generic, garrulous, guardian, gleam, gauche
Unit 4.3	gaudy, gauge, gear, genial, genteel, germane, gibe, giddy, gild, gist
Unit 4.4	gigantic, glaze, glib, glisten, glitch, gloat, gloomy, gloss, glossy, glut
Unit 4.5	glutinous, glutton, goad, gobble, goggle, goldbrick, gorge, gossamer, grimy, gourmet
Unit 4.6	grandeur, grandiloquent, grandiose, grandstand, grate, gratify, gratuitous, green, gregarious, grieve
Unit 4.7	glamorous, grin, gripe, grisly, groove, grotesque, grovel, grueling, guile, glean
Unit 4.8	gull, groundless, gush, gust, guzzle, hack, hackneyed, halcyon, hale, half-baked
Unit 4.9	hallmark, hallow, hallucination, ham-handed, hammer, hamper, hamstring, hangdog, hanker, haphazard
Unit 4.10	harangue, harass, harbinger, harbor, hard-bitten, hardy, harmonious, harness, harrow, harry
Unit 5.1	harsh, hasten, hasty, haunt, hauteur, haven, havoc, headlong, hearken, hearten
Unit 5.2	heartrending, hedonism, hegemony, heinous, hew, herald, heresy, heretical, hermetic, hagiographic
Unit 5.3	heterodox, hidebound, hideous, hie, humbug, hilarious, histrionic, hive, hoard, hoary
Unit 5.4	hoax, hodgepodge, homage, homely, homily, homogenize, hone, hoodwink, hortative, heartfelt
Unit 5.5	hubris, humble, hedge, humor, hurricane, husband, husk, husky, hybrid, hymn
Unit 5.6	hyperbole, hypnotic, hypocritical, iconoclast, idolatrize, idyll, ignite, ignominy, illiteracy, illuminati
Unit 5.7	illuminate, illusory, imbibe, imbroglio, imitation, immaculate, immanent, immaterial, immature, immemorial
Unit 5.8	immune, immure, immutable, impassive, impeccable, impecunious, impede, impending, impenetrable, impenitent
Unit 5.9	imperative, imperial, imperious, impertinent, imperturbable, impervious, impetuous, impious, implacable, implement
Unit 5.10	implode, importune, imposing, imposter, impotent, imprecise, impromptu, improvise, imprudent, impudent
Unit 6.1	impugn, impuissance, inadvertent, inalienable, inane, inanimate, inaugurate, incandescent, incantation, incarnate
Unit 6.2	incendiary, incense, inception, incessant, inch, inchoate, incinerate, incipient, incite, inclement
Unit 6.3	incogitant, incongruent, inconsequential, incontrovertible, incorrigible, incriminate, incubate, inculpate, incursion, indelible
Unit 6.4	indemnity, indict, indifferent, indigenous, indigent, indispensable, indoctrinate, indolent, induce, indulgent
Unit 6.5	indurate, industrious, ineffable, ineluctable, inept, inert, inevitable, inexorable, infamous, infatuate
Unit 6.6	incommensurate, infiltrate, infinite, infirm, inflame, infelicitous, influx, infuriate, infuse, ingenious
Unit 6.7	intermediary, ingenuous, ingest, ingrained, ingratiating, inherent, inimical, inimitable, iniquity, initiate
Unit 6.8	inkling, innocuous, innovative, inquisitive, insensible, inconsistent, insentient, inconclusive, insipid, insolent
Unit 6.9	insouciant, instate, instigate, instill, institute, insubordinate, insular, insulate, insurgent, intangible
Unit 6.10	integral, integrity, intelligible, intemperate, intensify, inter, intercessor, interdict, interim, interlock
Unit 7.1	interminable, intermittent, interregnum, interrogate, intimate, intimidate, intoxicant, intransigent, intrepid, intrigue
Unit 7.2	intrinsic, intuitive, inundate, inure, invective, inveigh, inveigle, inventory, inveterate, invidious
Unit 7.3	invigorate, invincible, invoke, irascible, irate, iridescent, irk, ironclad, irradicable, itinerant
Unit 7.4	irrigate, irritate, issue, jabber, jaded, jape, jargon, jarring, jaundice, jaunty
Unit 7.5	jejune, jettison, jeopardy, jest, jibe, jingoist, jitters, jocular, jocund, jog
Unit 7.6	jolt, jot, jovial, jubilant, judicious, juggernaut, ken, kidnap, kindle, kindred
Unit 7.7	knack, kilter, knit, knotty, kudos, labile, laborious, labyrinthine, lacerate, lackluster
Unit 7.8	laconic, lachrymose, lambaste, lament, libelous, lampoon, languid, languish, languor, lank
Unit 7.9	lapse, largesse, lash, lassitude, latent, latitude, laudatory, lavish, leaven, leer
Unit 7.10	leery, legacy, lucrative, legion, lenient, lethal, lethargic, levelheaded, levity, liability
Unit 8.1	liberal, libertine, licentious, liken, limber, limp, limpid, linger, lissome, list
Unit 8.2	lithe, loath, loathe, lofty, loll, lopsided, loquacious, loutish, lubricate, lucid
Unit 8.3	lug, lugubrious, lull, lullaby, lumber, luminary, lurch, lurk, lush, lustrous
Unit 8.4	luxurious, lyric, macabre, macerate, maculate, maelstrom, magnificent, maladroit, malaise, malcontent
Unit 8.5	malicious, malign, malinger, malleable, malodorous, mandatory, mangle, mangy, mania, manifest
Unit 8.6	manipulate, mannered, manumit, manuscript, mar, malfeasance, martinet, marvel, mash, masquerade
Unit 8.7	mastery, matriculate, maudlin, maven, maverick, mawkish, meager, mean, meander, measly
Unit 8.8	measured, meddle, meditate, mediocre, medley, meek, meet, mellifluous, melodramatic, menace
Unit 8.9	mendacious, mentor, mercenary, mercurial, merited, mesh, mesmeric, metamorphose, metaphysical, meteoric
Unit 8.10	methodical, meticulous, mettle, miff, migratory, milk, mime, mimic, minatory, ministration
Unit 9.1	mingle, minimize, mint, minuscule, minute, minutiae, mirage, mire, mirth, misanthropic
Unit 9.2	misbehaving, mischievous, misconstrue, miscreant, misdemeanour, miserly, manacle, misgiving, mishap, misrepresent
Unit 9.3	mite, mitigate, majestic, mockery, moderate, modicum, mollify, mollycoddle, molt, momentous
Unit 9.4	momentum, mongrel, monochromatic, monologue, monotonous, montage, moratorium, morbid, mordant, moribund
Unit 9.5	morose, mosaic, monolithic, moth-eaten, motile, motivate, motley, mottle, multifarious, mournful
Unit 9.6	metaphor, muddy, muffle, mulish, mumble, mundane, munificent, murky, murmur, mutate
Unit 9.7	mute, mutter, myopic, myriad, nadir, naive, narcissistic, nascent, natty, nauseate
Unit 9.8	nautical, naysay, nebulous, needy, nefarious, negation, negligent, negotiate, neophyte, nerve
Unit 9.9	nettle, neutralize, nexus, nibble, nicety, nil, nip, nitpick, nocturnal, noisome
Unit 9.10	nomad, nominal, nonchalant, nondescript, nonentity, nonplus, numinous, notch, novel, noxious
Unit 10.1	nuance, nudge, nugatory, nurture, obtrusive, obdurate, obedient, obeisance, obfuscate, obligatory
Unit 10.2	obliging, oblique, obliterate, oblivious, obloquy, obscure, obsequious, obsess, obstinate, obstreperous
Unit 10.3	obstruct, obtuse, obviate, occult, odium, offbeat, offhand, officious, offish, off-key
Unit 10.4	ominous, omniscient, onerous, opaque, opine, opportune, opprobrious, outrageous, orient, original
Unit 10.5	orthodox, oscillate, ossify, ostentatious, ostracize, oust, overweening, outlandish, outmaneuver, outset
Unit 10.6	outwit, overbearing, overlap, overt, overture, oxymoron, pacify, padding, paean, painstaking
Unit 10.7	palatable, palatial, pall, palliate, pallid, palmy, palpable, palter, paltry, pan
Unit 10.8	panache, pandemic, pandemonium, panegyric, panoramic, provenance, paradigm, paradise, paradox, paragon
Unit 10.9	paramount, paranoid, paraphrase, parch, parenthesis, pariah, parity, parody, paroxysm, parrot
Unit 10.10	parry, parsimonious, partial, particularize, partisan, pastiche, partition, patent, pathological, patina
Unit 11.1	patrician, patriot, patronize, paucity, province, peck, pedagogue, pedant, predestine, pedestrian
Unit 11.2	peep, peer, peeve, pejorative, pellucid, plaintive, polymath, penchant, penitent, pensive
